"Data Source","World Development Indicators",
"Last Updated Date","2021-07-30",
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1448632316.28857","1616875214.181","1751000102.24128","1923475578.61897","2125718763.62435","2225571947.18959","2293196644.42364","2497125591.58529","2575533498.67338","2645065705.20619","2910162905.13092","2885630124.8218","2835314410.0219","2945022088.35996","3263578403.08735","3406102722.27756","3546046052.97751","3706854417.83276","3775529799.68399","3404108436.82609","3316870714.41778","3502845774.57458","3442855767.49202","3799467166.166","3816822068.4595","3893070716.59654","3941353654.93151","4098239741.2414","","","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520179724402.543","537679662268.364","538737086766.287","549421769219.279","571978476005.11","609954375834.504","655668236573.861","690669599518.547","711115583570.559","741890578095.682","784096810669.657","830616965111.596","876905137180.233","922541461623.239","1000465405931.14","1098340371028.77","1211115768819.95","1334944684525.2","1429844176416.04","1463319001716.01","1556641359222.2","1660744756075.96","1684209972740.2","1798942393751.1","1939238534238.31","2002548356207.76","2106962675510.04","2220111961786.69","2340297193262.74","2437590744111.08","2403001327060",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19821201272.7123","21972474901.6777","22883102406.9713","26245649893.4599","28488533288.0223","33298540656.4323","35278625599.7927","43151385722.0354","49924017476.7623","51184181904.4289","59667003515.1962","65039839448.5561","69058343420.1602","71831696727.8086","70097956089.2877","74711922906.3738","77415569869.8162","81879802965.493","81268221429.6666",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345129877519.881","361295646853.644","379290467540.126","384048284006.854","391500143016.767","407751962219.356","434378857300.614","458560182608.826","480468680861.642","495045451494.012","524234059742.363","565941554938.759","631642287452.071","681386483146.193","755199374498.331","825254027657.849","895310208425.321","970491402006.612","1050523649368.04","1123097254334.73","1211711364490.77","1299276679247.05","1374238154693.49","1500811099873.13","1606599812361.59","1653464201396.07","1671093085177.19","1737270112543.21","1834074819421.19","1929576645443.24","1937523715398.88",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38878269806.4715","40591495323.3689","39092686251.0448","30421001339.9221","31486753256.4028","36969023957.0447","42744843255.7052","46644927780.4344","49382736263.9042","51188559061.9269","53931438611.886","57432494669.7672","66313630684.0612","69564636251.1885","79261910487.6944","94014137040.1714","108044190442.528","126490191862.26","143349394242.913","145682561883.685","153870650179.651","162538809184.169","186124220333.292","199865635605.063","220364785384.766","204603585194.557","204874680466.819","217987314775.762","218748623735.012","221262824980.767","214894517507.738",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8376888654.7909","6235140213.92191","5918894512.2057","6638346866.75043","7343043431.34927","8495791944.88103","9438625546.91784","8552914712.56956","9451071924.40404","10792608912.6977","11931318529.5855","13162975598.2092","14221914379.6892","15182653014.868","16415700681.6275","17663327675.7343","19624528716.8643","21605461982.0777","24251465013.7206","25819283364.2435","28070187015.0732","29655456332.3237","30530546077.6886","30603925190.2399","32529279134.4629","33585730434.5025","34739850853.7913","36696847617.1258","38829309990.0856","40617962172.575","39211248780.5331",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1525106088092.87","1696499864755.15","1821423089042.13","1917687017072.83","2015044892950.07","2111800050767.66","2248197530753.14","2381947649433.92","2542907911188.06","2631565431037.81","2871303545264.16","2980470663364.24","3035837169266.83","3220943273962.17","3614106439630.56","3929657949654.51","4284781900413.43","4597112861856.23","4961152940099.54","5035367931212.9","5334923458040.83","5636485610847.56","6135781772529.41","6250877891268.21","6269998116417.44","5742368828095.07","5656902687679.43","5992693336362.07","6288688249858.29","6519057863164.2","6334964398250.66",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159487795644.228","166299397379.871","175778598499.949","182212714606.644","198937630070.254","216692716935.352","233455210611.242","256931522937.121","260582009100.844","272016137716.577","308278032479.587","319447556791.36","332397038613.156","368365956294.372","414471367020.011","448131906384.738","507111540730.546","537316172500.954","565251527229.531","539699098306.834","554739094150.249","605575063616.23","631707057954.974","647295742436.972","678339276123.81","601179365119.067","598811161712.48","637384703409.743","660454236989.386","683522726303.177","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234713747906.403","264812795189.715","292345602701.061","323833287150.088","350051492092.115","347222944481.783","373122012485.477","410342067258.763","430937274294.631","422359326228.804","428394155078.285","418489172661.132","378795278976.384","419925810757.286","470169433019.259","527729109507.491","587451576462.842","657569211584.856","697557858459.69","661275816702.498","736718360687.747","797263881242.037","819697901873.041","849616000404.317","839896688260.086","867176759338.262","885227528869.049","1039330591568.54","1036982074614.46","1033454909164.83","942366939742.537",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9814665773.49923","8959424811.08613","5333216050.16673","4979132362.02462","5360070444.72768","5850061875.03828","6306590693.92834","6628399563.03319","7192322810.54708","7536939292.96301","8160045754.95071","9139577172.24627","10509650580.8786","12203500269.3471","13847909043.5482","16264081042.8076","18968092453.3076","22146063400.512","24134635012.4078","20889699218.1128","21598045116.0039","23085520248.3701","27009096448.5442","28500152360.1441","29231468082.419","29166842740.5397","31429192104.4042","35676528915.4363","38432837649.8584","42091960116.6692","39364077035.0845",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","725018275.836669","765850876.2996","792378297.56855","853979799.93012","930450777.449235","908546390.895447","986285438.381148","1058189112.69129","1120726980.9667","1179060284.10002","1280195144.17377","1248774864.26956","1281560907.27004","1384681527.42647","1503964936.73947","1651209567.74817","1917366845.05439","2152280699.07979","2193830738.54859","1946113356.08119","1814425571.79809","1816047262.12083","1771798543.10742","1720170788.92087","1762288334.80494","1769549897.41954","1882863521.88954","1893259104.10692","2073464728.33562","2181204769.77483","1854990178.4467",
